Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Max drawdown,Max drawdown percent,Objective,buy_rsi,sell_rsi,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss,trailing_stop,trailing_stop_positive,trailing_stop_positive_offset_p1,trailing_only_offset_is_reached
,44,37,0.16%,0.2036366867089454,0.01221666,EUR,12.22,19:57:00,37,0,36.091133,3.52%,220.66773,30,67,1290,140,154,0.081,0.148,0.239,-0.049,True,0.01,0.034,True
,45,4,-1.22%,-2.78347023435348,-0.01163324,EUR,-11.63,18:45:00,4,0,19.95146503,1.98%,116.00000,25,67,1115,349,287,0.035,0.1,0.29200000000000004,-0.02600000000000001,True,0.012,0.028999999999999998,True
,46,4,-0.60%,0.930449021732481,-0.00580659,EUR,-5.81,19:15:00,4,0,15.258851,1.52%,116.00000,25,72,937,197,284,0.037,0.086,0.248,-0.062000000000000006,True,0.012,0.017,True
,47,25,-0.92%,2.027121111212653e-06,-0.05443427,EUR,-54.43,23:41:00,25,0,79.69348616,7.86%,659.74455,29,71,850,197,282,0.08499999999999999,0.086,0.451,-0.08800000000000001,True,0.012,0.036000000000000004,True
,48,27,-0.74%,4.392904270570379e-06,-0.04766680,EUR,-47.67,20:11:00,27,0,79.33434598999999,7.86%,935.77637,29,73,937,134,150,0.037,0.149,0.451,-0.08800000000000001,True,0.012,0.017,True
,49,251,-0.45%,0.00017955070095963317,-0.25049780,EUR,-250.50,"1 day, 8:52:00",251,0,252.5537272400002,25.20%,"13,220.80041",41,83,1226,508,316,0.057,0.11199999999999999,0.11599999999999999,-0.07600000000000001,True,0.007,0.048,True
,50,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,22,75,731,405,123,0.07100000000000001,0.03,0.239,-0.049,True,0.01,0.048,True
,51,287,-0.33%,0.004111475214802711,-0.21384674,EUR,-213.85,22:11:00,287,0,213.84706025,21.38%,"1,324,643,499.93807",41,71,675,196,316,0.025,0.11199999999999999,0.266,-0.07600000000000001,True,0.007,0.047,True
,52,385,-0.14%,0.01290269832469321,-0.14459360,EUR,-144.59,"1 day, 4:21:00",385,0,219.4177688099999,21.71%,"2,067.19759",45,67,1115,554,317,0.035,0.1,0.29200000000000004,-0.08800000000000001,True,0.012,0.028999999999999998,True
,53,4,-1.31%,0.007565453896982357,-0.01254555,EUR,-12.55,"1 day, 1:15:00",4,0,17.52005584,1.74%,116.00000,25,73,533,349,150,0.062,0.1,0.29200000000000004,-0.08600000000000001,True,0.025,0.028999999999999998,True
,54,4,-2.34%,-2.687328305870566,-0.02250116,EUR,-22.50,"1 day, 8:15:00",4,0,30.48710122,3.02%,116.00000,25,61,1439,498,350,0.07200000000000001,0.1,0.318,-0.082,True,0.025,0.028999999999999998,True
,55,2,1.05%,1.046502402938858,0.00497439,EUR,4.97,"1 day, 0:00:00",2,0,0.0,0.00%,118.00000,24,73,533,134,394,0.039,0.1,0.238,-0.08600000000000001,True,0.023000000000000003,0.035,True
,56,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,22,83,731,405,140,0.07100000000000001,0.133,0.12,-0.091,True,0.017,0.016,True
,57,4,-1.09%,-2.564680727385324,-0.01041707,EUR,-10.42,18:45:00,4,0,18.43431813,1.83%,116.00000,25,85,1138,323,121,0.07200000000000001,0.03,0.239,-0.024000000000000007,True,0.01,0.034,True
,58,37,-0.10%,4.646054103920975e-06,-0.01119340,EUR,-11.19,23:10:00,37,0,79.35908434,7.90%,"1,626.02708",30,73,228,489,439,0.041999999999999996,0.119,0.143,-0.07800000000000001,True,0.018000000000000002,0.043000000000000003,True
,59,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,21,73,533,134,150,0.07500000000000001,0.1,0.092,-0.08600000000000001,True,0.023000000000000003,0.035,True
,60,396,-0.16%,0.0002702067808792829,-0.15833697,EUR,-158.34,"1 day, 3:07:00",396,0,223.22894423,22.01%,"1,672.05456",45,74,1119,155,444,0.035,0.028,0.10800000000000001,-0.07400000000000001,True,0.006,0.042,True
,61,351,-0.26%,0.01013974193043349,-0.20754942,EUR,-207.55,"1 day, 0:36:00",351,0,216.4508622900003,21.45%,"2,461.19388",43,76,1299,169,249,0.092,0.035,0.12,-0.061000000000000006,True,0.01,0.024,True
,62,12,-2.70%,-2.2690920834681454,-0.07571111,EUR,-75.71,"1 day, 5:50:00",12,0,88.60754278000002,8.78%,108.00000,28,67,937,415,282,0.057,0.136,0.451,-0.091,True,0.012,0.048,True
,63,376,-0.17%,0.20463019652278439,-0.16240566,EUR,-162.41,"1 day, 3:05:00",376,0,182.86921172999996,17.92%,945.64806,44,70,1439,406,210,0.07200000000000001,0.07100000000000001,0.193,-0.079,True,0.008,0.023,True
,64,313,-0.17%,0.01290269832469321,-0.13693831,EUR,-136.94,"1 day, 2:02:00",313,0,164.76587018,16.33%,"1,894.49532",42,79,1141,299,121,0.03,0.065,0.43600000000000005,-0.09000000000000001,True,0.026000000000000002,0.043000000000000003,True
,65,4,-1.09%,0.007565452852182828,-0.01047824,EUR,-10.48,"1 day, 1:30:00",4,0,17.55686268,1.74%,116.00000,25,67,244,691,154,0.057,0.055,0.147,-0.093,True,0.006,0.042,True
,66,272,-0.42%,0.00028620484661652333,-0.24690897,EUR,-246.91,"1 day, 0:59:00",272,0,248.71768940999993,24.83%,"15,097.41778",41,71,767,306,316,0.025,0.11199999999999999,0.11599999999999999,-0.08600000000000001,True,0.021,0.019000000000000003,True
,67,25,-1.07%,2.0303135198080956e-06,-0.06328794,EUR,-63.29,"1 day, 3:22:00",25,0,84.19234682000001,8.31%,703.91101,29,79,937,661,282,0.026,0.149,0.095,-0.08700000000000001,True,0.025,0.034,True
,68,26,-0.62%,-2.6709188305185534,-0.03808217,EUR,-38.08,18:12:00,26,0,58.47100391,5.73%,368.55960,29,71,984,661,282,0.049,0.149,0.451,-0.02500000000000001,True,0.025,0.025,True
,69,337,-0.24%,0.0057614887686978315,-0.18959716,EUR,-189.60,"1 day, 2:39:00",337,0,199.98524586000002,19.79%,"1,968.33702",43,79,1299,521,249,0.092,0.095,0.183,-0.061000000000000006,True,0.01,0.024,True
,70,379,-0.25%,0.29897408361742756,-0.21272114,EUR,-212.72,20:33:00,379,0,214.6943713699999,21.43%,"11,444.11251",43,68,1115,140,317,0.081,0.028,0.10800000000000001,-0.049,True,0.012,0.016,True
,71,2,0.68%,0.6816443061748308,0.00324282,EUR,3.24,11:00:00,2,0,0.0,0.00%,118.00000,24,66,284,134,210,0.068,0.1,0.193,-0.08600000000000001,True,0.008,0.035,True
,72,4,-1.58%,-2.78347023435348,-0.01500007,EUR,-15.00,21:15:00,4,0,19.883481500000002,1.98%,116.00000,25,85,1119,155,444,0.057,0.055,0.29200000000000004,-0.02600000000000001,True,0.025,0.042,True
,73,25,-1.07%,2.0303135198080956e-06,-0.06328794,EUR,-63.29,"1 day, 3:22:00",25,0,84.19234682000001,8.31%,703.91101,29,79,937,661,282,0.026,0.149,0.17099999999999999,-0.08700000000000001,True,0.025,0.034,True
